BATTER_ID,BATTER_NAME
111271,Medric Boucher
115646,Von Hayes
123869,Red Waller
114878,Jot Goar
117450,Rafael Landestoy
430898,Jason Alfaro
120406,Danny Perez
124010,Roger Weaver
113784,Joey Eischen
116410,Walt Irwin
123361,Jack Tising
119499,Joe Mulligan
677951,Bobby Witt
819692,Vet Dunbar
492705,Joe Vavra
476704,Jed Lowrie
115069,Milt Gray
113092,Jerry Davie
117470,Don Lang
112736,Craig Counsell
623520,David Bote
113536,D. J. Dozier
502011,Preston Claiborne
119577,Tony Murray
679563,José Rodriguez
124292,Charlie Williams
115861,Orel Hershiser
116244,Walt Hriniak
118849,Gordon Mcnaughton
118965,Mark Mercer
605513,Spencer Turnbull
435359,Jon Debus
122628,Mike Squires
122716,Dave Stegman
112029,Lew Carr
120349,Al Pedrique
122124,Ray Shepardson
572810,Ryan Dennick
118108,Frank Madden
110648,Bob Barton
121191,Dorsey Riddlemoser
276376,Nick Johnson
113372,Packy Dillon
458668,Jordan Danks
521889,Stu Scheurwater
116965,Bill Kelso
122615,George Spriggs
118385,Joe Marty
608385,Jesse Winker
124742,Dom Zanni
817004,Tenny
448590,Kevin Melillo
116871,Greg Keagle
571431,Matt Adams
408212,Gabe Gross
817743,Piccard
456034,David Price
124747,Norm Zauchin
816716,Jasper Washington
694680,Trevor Martin
117918,Héctor López
113145,Wiley Davis
115263,Ricky Gutiérrez
457870,Ryan Ellis
113097,Bill Davis
218595,Chris Woodward
115726,Ty Helfrich
119551,Dwayne Murphy
667725,Kyle Tyler
501169,Bob Maver
115542,Bob Harrison
655676,Kyle Traynor
817083,Frank Stinson
621550,Patrick Wisdom
543340,Kyle Hudson
113225,Art Delaney
502205,Grant Green
112682,Marty Cordova
820101,Red Charleston
118281,Leo Marentette
121364,Rosario Rodríguez
116050,Bill Hogg
668952,Ryan Kreidler
670087,Brandyn Sittinger
122444,Pete Smith
112690,Rheal Cormier
120387,Will Pennyfeather
111595,Tom Brown
111167,Ed Boland
666622,Brailyn Márquez
121754,Al Schacht
502139,Josh Stinson
113642,Mike Dunne
112296,Frank Cipriani
111774,John Burrows
112830,Dave Criscione
434623,Juan Morillo
117511,John Larose
676979,Garrett Crochet
113641,Todd Dunn
501687,Luis Marte
693080,Tyler Smarslok
607333,Beau Taylor
425513,Craig Brazell
595441,Matt Tracy
115379,Dave Hamilton
452215,Luke Montz
457566,Greg Burke
114466,Woodie Fryman
592329,Jason García
120632,Jeff Plympton
592169,Austin Brice
627500,Jen-Ho Tseng
111605,George Browne
425428,Jorge De Paula
118371,Dennis Martínez
571602,Matt Davidson
817435,Howard Ross
111922,Bruce Campbell
119131,Bill Miller
119929,Ken O'Dea
818005,Larry Napoleon
687931,Carson Whisenhunt
119639,Judge Nagle
543507,Trevor May
669093,Jeremiah Estrada
120060,Mike O'Rourke
114396,Scott Fredrickson
575629,Shane Livensparger
816656,Clifford White
451713,Carlos Peguero
120809,Oscar Purner
514639,José Ortega
501981,Khris Davis
123980,Pat Watkins
115009,Mike Grace
123391,Chuck Tompkins
118271,Cliff Mapes
122119,Skeeter Shelton
123504,George Turbeville
818243,Jim Mccurine
817665,Wilbert Pritchett
818572,Jim Lamarque
118254,Tom Mansell
115119,Frank Gregory
121256,Johnny Rizzo
461791,Carlos Marmól
